"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Devonte' Graham","CHA",63,2211,10.714285714285714,24.86351228389445,7.279344858962693,3.434940855323021,5.800727934485896,1.2966333030027297,0.18198362147406733,0.8416742493175614,2.5932666060054594
"Terry Rozier","CHA",63,2164,6.030267753201397,14.59837019790454,3.492433061699651,2.5378346915017462,2.421420256111758,0.8149010477299186,0.2561117578579744,0.7683352735739232,1.769499417927823
"Miles Bridges","CHA",65,1995,2.8897338403041823,7.224334600760456,1.4448669201520912,1.4448669201520912,1.2167300380228137,0.17743979721166034,0.050697084917617236,0.3548795944233207,1.0899873257287707
"P.J. Washington","CHA",58,1759,3.512278697886922,8.85208452312964,1.6847515705311251,1.8275271273557967,1.3420902341519132,0.19988577955454026,0.1427755568246716,0.5711022272986864,1.2564249000571102
"Cody Zeller","CHA",58,1341,3.2934131736526946,7.8967065868263475,1.9835329341317365,1.3098802395209581,1.6092814371257484,0.33682634730538924,0.0374251497005988,0.5239520958083832,0.7859281437125748
"Malik Monk","CHA",55,1169,4.840764331210191,11.422505307855626,3.099787685774947,1.7409766454352442,2.3779193205944797,0.721868365180467,0,0.3821656050955414,1.3588110403397027
"Bismack Biyombo","CHA",53,1029,2.4962556165751373,5.791313030454319,1.6974538192710933,0.7988017973040439,0.9985022466300549,0.5491762356465302,0.14977533699450823,0.29955067398901647,0.49925112331502747
"Cody Martin","CHA",48,903,5.289532293986637,12.861915367483297,3.0066815144766146,2.282850779510022,2.4498886414253898,0.44543429844098,0.111358574610245,0.7238307349665924,1.55902004454343
"Marvin Williams","CHA",41,808,2.5153374233128836,6.380368098159509,1.165644171779141,1.3496932515337423,0.8588957055214724,0.24539877300613497,0.06134969325153374,0.36809815950920244,0.9815950920245399
"Dwayne Bacon","CHA",39,687,3.7873270211216314,9.978150036416606,1.3838310269482885,2.403495994173343,0.9468317552804079,0.43699927166788055,0,0.6554989075018208,1.7479970866715222
"Nicolas Batum","CHA",22,505,6.613226452905812,15.831663326653306,4.008016032064128,2.6052104208416833,3.2064128256513027,0.7014028056112225,0.10020040080160321,0.9018036072144289,1.7034068136272544
"Willy Hernangomez","CHA",31,375,3.856382978723404,9.441489361702128,2.127659574468085,1.7287234042553192,1.0638297872340425,0.6648936170212766,0.39893617021276595,0.6648936170212766,1.0638297872340425
"Caleb Martin","CHA",18,317,3.7037037037037037,9.017713365539452,2.0933977455716586,1.6103059581320451,1.4492753623188406,0.4830917874396135,0.1610305958132045,0.4830917874396135,1.1272141706924315
"Jalen McDaniels","CHA",16,293,2.264808362369338,5.574912891986063,1.2195121951219512,1.0452961672473868,0.8710801393728222,0.17421602787456447,0.17421602787456447,0.17421602787456447,0.8710801393728222
"Michael Kidd-Gilchrist","CHA",12,160,3.2679738562091503,8.49673202614379,1.3071895424836601,1.9607843137254901,0.9803921568627451,0.32679738562091504,0,0.6535947712418301,1.3071895424836601
"Joe Chealey","CHA",4,33,1.492537313432836,2.985074626865672,1.492537313432836,0,1.492537313432836,0,0,0,0