"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Langston Galloway","DET",66,1702,1.3858813339107838,0.894919168591224,0.25981524249422633,0.08663008951775916,0.057753393011839446,0.028876696505919723,0.17321016166281755,0.20207852193995382,0,0,0,0,2.194628934449899
"Andre Drummond","DET",49,1654,2.6370991908900208,2.102733553619706,0.5707419645539201,0.5680119581464873,0.6576980568011959,0.38863976083707025,0.18023430459597475,0.030039050765995796,0,0,0,0.030039050765995796,6.606875934230194
"Tony Snell","DET",59,1641,1.5361216730038023,1.5239256324291375,0.03047851264858275,0.06071645415907711,0.09107468123861566,0.030358227079538554,0.18287107589149648,0,0,0,0,0,1.3964784456587735
"Bruce Brown","DET",58,1634,2.4907749077490773,2.6033690658499236,0.18376722817764166,0.06174745291756715,0.18524235875270145,0.09262117937635073,0.2450229709035222,0.030627871362940276,0,0,0,0,3.2108675517134917
"Christian Wood","DET",62,1325,1.8263138278046962,1.8222387504648567,0.1859427296392711,0.6723944714232349,0.3735524841240194,0.1867762420620097,0.4834510970621049,0,0,0,0,0.11156563778356267,8.06873365707882
"Derrick Rose","DET",50,1298,0.911967243625535,1.0067114093959733,0.07457121551081283,0.03716090672612412,0.07432181345224824,0.07432181345224824,0.2609992542878449,0.037285607755406416,0,0,0,0,4.273504273504273
"Svi Mykhailiuk","DET",56,1265,1.68506682161534,1.3565891472868217,0,0.03871467286101433,0.11614401858304298,0.03871467286101433,0.3488372093023256,0.03875968992248062,0,0,0,0,2.129307007355788
"Markieff Morris","DET",44,988,2.5812856788284932,2.730883813306852,0.29791459781529295,0,0.7444168734491315,0.04962779156327544,0.09930486593843098,0.04965243296921549,0,0,0,0.04965243296921549,3.3746898263027294
"Luke Kennard","DET",28,922,1.7534394388993795,1.410743353228432,0.16277807921866522,0.0536480686695279,0.26824034334763946,0.0536480686695279,0.21703743895822028,0,0,0,0,0,2.8969957081545066
"Thon Maker","DET",60,776,3.304178814382896,4.129032258064516,0.5161290322580645,0.715679895901106,0.3903708523096942,0.13012361743656473,0.06451612903225806,0.12903225806451613,0,0,0.06451612903225806,0,5.790500975927131
"Sekou Doumbouya","DET",38,754,2.644628099173554,1.9041365725541695,0.06565988181221274,0.13315579227696406,0.19973368841544606,0.46604527296937415,0.1969796454366382,0,0,0,0,0,2.796271637816245
"Blake Griffin","DET",18,512,1.3106796116504855,1.744186046511628,0.09689922480620156,0,0,0.09727626459143969,0.29069767441860467,0.6782945736434108,0,0,0,0,9.43579766536965
"Reggie Jackson","DET",14,381,1.4018691588785046,1.0723860589812333,0,0.39893617021276595,0,0,0.40214477211796246,0,0,0,0,0,3.9893617021276597
"Tim Frazier","DET",27,355,2.918693537178596,2.2099447513812156,0.27624309392265195,0.13986013986013987,0.27972027972027974,0.13986013986013987,1.1049723756906078,0.4143646408839779,0,0,0,0,4.475524475524476
"Brandon Knight","DET",9,221,2.3228803716608595,1.3953488372093024,0.23255813953488372,0,0.46403712296983757,0,0.46511627906976744,0.23255813953488372,0,0,0,0,5.336426914153132
"John Henson","DET",11,188,3.1207598371777476,2.4456521739130435,0.8152173913043478,0.8130081300813008,0.27100271002710025,0,0.2717391304347826,0,0,0,0,0,3.252032520325203
"Jordan McRae","DET",4,98,2.6525198938992043,1.5873015873015872,0,0,0,0,0,0,0,0,0,0,7.9787234042553195
"Louis King","DET",10,62,4.065040650406504,3.252032520325203,0.8130081300813008,0,0,0.8130081300813008,0,0,0,0,0,0,1.6260162601626016
"Khyri Thomas","DET",8,61,3.8461538461538463,5.932203389830509,0,0,0,0,0,0,0,0,0,0,2.586206896551724
"Jordan Bone","DET",10,53,2.857142857142857,0.9523809523809523,0,0,0.9523809523809523,0,0,0,0,0,0,0,0
"Donta Hall","DET",4,48,4.945054945054945,6.593406593406593,1.098901098901099,2.197802197802198,1.098901098901099,0,0,0,0,0,0,0,6.593406593406593
"Derrick Walton Jr.","DET",3,26,1.8867924528301887,1.8518518518518519,0,0,1.9230769230769231,0,1.8518518518518519,0,0,0,0,0,1.9230769230769231